reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
07be1285-e2cb-4228-8721-21c91af3e925,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantap,5,0,36.3.3,2024-09-03 07:51:56,,,36.3.3
ae0206fa-fc6b-44ad-9c58-2b495f6dc32e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Banyak event Afiliasi yang mengharuskan pemenangnya adalah yg paling banyak laku...,4,1,35.6.3,2024-08-03 10:06:16,,,35.6.3
cca03e4e-ee96-41b5-98a7-3906af44b0dc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi yg sangat menguntungkan, dan banyak pengalaman yg blm saya temui pokonya bagus bgt",5,0,,2025-01-28 12:07:33,,,
0eab3844-8043-4948-9154-32d925cfeb7d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bug mulu gabisa dibuka harus download ulang trus,1,0,,2024-12-14 02:47:12,,,
5455a81a-e5f0-4a93-99a5-07872688c3b1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lumayan keren lh,1,0,,2024-11-12 10:11:01,,,
afa4b8b9-b8a1-4c74-a749-ce60ae539af6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sangat puas,.",5,0,37.2.6,2024-11-16 09:40:58,,,37.2.6
3b63f106-51e6-4b2f-a256-3c3882fc4211,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"etah hape saya yang eror apa tiktoknya , ngeinstalny lama banget padaha jaringannya bagus ko,aku nunggu sapek 2 jamlo tolong kalo adamasalah ditiktok diperbaiki",3,0,,2024-10-15 06:31:37,,,
ec29de46-4cd6-4b09-ba12-eb26af9761a3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,4,0,37.5.3,2024-11-30 08:19:45,,,37.5.3
fdb06114-c927-4d30-b70f-bd889e1c1c69,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kenapa ko g bisa di update,4,0,26.5.4,2024-12-24 23:17:31,,,26.5.4
e64af211-1e4d-435f-a50e-5cdf99b24a6f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good,5,0,36.4.4,2025-01-23 03:09:59,,,36.4.4
04676ac9-cf44-44c0-b46c-eef93e3851d7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sangat baguss,5,0,37.4.4,2024-11-22 11:32:53,,,37.4.4
1aad950a-769c-423c-aada-fc5259f588ea,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Dembel,1,0,36.2.4,2024-08-30 10:58:03,,,36.2.4
5dc8d9f2-8910-4dfd-adbc-2737af3a3146,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,aplikasinya bagus tapi suka ke logout sendiri gk jelas biasanya sehari bisa lebih dari 3×,3,0,,2024-12-10 09:23:57,,,
56153301-2a5d-45e1-be26-e3752ba9231b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus,5,0,,2024-09-02 09:39:40,,,
745be785-21bd-415b-b4b3-6e68aa5853a4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,𝙆𝙤𝙠 𝙜𝙠 𝙗𝙞𝙨𝙖 𝙙𝙞 𝙙𝙤𝙬𝙡𝙤𝙖𝙙 𝙨𝙞𝙝🗿𝙖𝙠𝙪 𝙪𝙙𝙖𝙝 𝙗𝙖𝙣𝙮𝙖𝙠 𝙮𝙜 𝙙𝙞 𝙖𝙥𝙪𝙨 𝙩𝙖𝙪 𝙜𝙠? 😤,2,0,,2024-08-20 07:55:22,,,
e2b18155-e022-4ea1-8608-b1c29c4cda67,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Kenapa fitur kayak berubah ubah seperti toko online menjadi menonton vidio teman sama kadang discowver sama penelusuran ya terus mau liat siapa yang lihat akun kita juga berubah menjadi acara live dan kotak masuk pun tidak bisa buat sms ? Tolong bisa di perbaiki🙏🏻😊,4,0,,2024-08-16 12:58:38,,,
422e26fa-089b-4c0b-841c-dd0eca334c2d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aku suka banget aplikasi tiktok ini setiap update semakin keren dan fitur yg nambah semoga update terbaru makin keren😎,5,0,,2025-01-07 08:37:42,,,
5bea96a7-3212-4797-bc59-409c981915cc,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,sering nge lag dan g mau di buka,3,0,,2025-01-18 11:36:27,,,
5c8b8067-0adb-407e-b524-af483421ad60,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ok da baik,5,0,37.7.3,2025-01-09 05:56:42,,,37.7.3
e17caee3-9ccb-4722-9f49-0a93cad04e1e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Knapa ya tiktok tiba"" gk bisa di buka",1,0,,2024-09-24 03:42:50,,,
